0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.0097+(-(2.89663e-06*(log(x+19)*(log(x+18)*(3-(-(110.381*log(x+18))))))))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.0097+(-(2.89663e-06*(log(x+19)*(log(x+18)*(3-(-(110.381*log(x+18))))))))" 
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.818896+(0.00682971*(log(x+19)*(log(x+18)*(3-(0.440998*log(x+18))))))" 
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.818896+(0.00682971*(log(x+19)*(log(x+18)*(3-(0.440998*log(x+18))))))" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))" 
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.04699*((1.+(0.00875474*x))/(1.+(0.0118305*x)))" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.04699*((1.+(0.00875474*x))/(1.+(0.0118305*x)))" 
2, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.21762*((1.+(0.031313*x))/(1.+(0.0491339*x)))" 
2, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.21762*((1.+(0.031313*x))/(1.+(0.0491339*x)))" 
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.61341+-0.000566321*x+1.99464e-07*x*x+-5.09199/x" 
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.59373+-0.00113028*x+8.66631e-07*x*x+-1.10505/x" 
2, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.77088+-0.00371551*x+5.86489e-06*x*x+-3.01178e-09*x*x*x" 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, down_hf, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, down_hf, 0, 0.0, 2.5, 20, 30, 0, 0.0695, 1.41726410389
3, iterativefit, down_hf, 0, 0.0, 2.5, 20, 30, 0.0695, 0.1555, 67.3120290976*(x-0.0695)*(x-0.0695)*(x-0.0695)-20.0968458714*(x-0.0695)*(x-0.0695)-0.852632366366*(x-0.0695)+1.4172641038894653
